"", "DIVISION OF INFORMATION SYSTEMS"
"ACI", "DIV OF ADVANCED COMPUT INFRA & RESEARCH"
"ANI", "DIV OF ADVANCED NETWOR INFRA & RESEARCH"
"AST", "DIVISION OF ASTRONOMICAL SCIENCES"
"ATM", "DIVISION OF ATMOSPHERIC SCIENCES"
"BCS", "DIVISION OF BEHAVIORAL AND COGNITIVE SCI"
"BES", "DIV OF BIOENGINEERING & ENVIRON SYSTEMS"
"BFA", "OFFICE OF BUDGET, FINANCE, & AWARD MANAG"
"BIO", "DIRECT FOR BIOLOGICAL SCIENCES"
"CCR", "DIV OF COMPUTER-COMMUNICATIONS RESEARCH"
"CHE", "DIVISION OF CHEMISTRY"
"CMS", "DIV OF CIVIL AND MECHANICAL SYSTEMS"
"CPO", "DIVISION OF CONTRACTS,POLICY & OVERSIGHT"
"CSE", "DIRECT FOR COMPUTER & INFO SCIE & ENGINR"
"CTS", "DIV OF CHEMICAL AND TRANSPORT SYSTEMS"
"DAS", "DIVISION OF ADMINISTRATIVE SERVICES"
"DBI", "DIV OF BIOLOGICAL INFRASTRUCTURE"
"DCB", "DIVISION OF CELLULAR BIOSCIENCES"
"DEB", "DIVISION OF ENVIRONMENTAL BIOLOGY"
"DFM", "DIVISION OF FINANCIAL MANAGEMENT"
"DGE", "DIVISION OF GRADUATE EDUCATION"
"DIS", "DIVISION OF INFORMATION SYSTEMS"
"DMI", "DIV OF DESIGN,MANUFAC & INDUSTRIAL INNOV"
"DMR", "DIVISION OF MATERIALS RESEARCH"
"DMS", "DIVISION OF MATHEMATICAL SCIENCES"
"DOB", "BUDGET DIVISION"
"DUE", "DIVISION OF UNDERGRADUATE EDUCATION"
"EAR", "DIVISION OF EARTH SCIENCES"
"ECS", "DIV OF ELECTRICAL AND COMMUNICATIONS SYS"
"EEC", "DIV OF ENGINEERING EDUCATION AND CENTERS"
"EF", "EMERGING FRONTIERS"
"EHR", "DIRECT FOR EDUCATION AND HUMAN RESOURCES"
"EIA", "DIVISION OF EXPERIMENTAL & INTEG ACTIVIT"
"EID", "DIVISION 0F ENGIN INFRASTRUCTURE DEVELOP"
"ENG", "DIRECTORATE FOR ENGINEERING"
"EPS", "OFFICE OF EXPER PROG TO STIM COMP RSCH"
"ESI", "DIV OF ELEM SECONDARY & INFORMAL SCI ED"
"ESR", "DIVISION OF EDUCATIONAL SYSTEM REFORM"
"GEO", "DIRECTORATE FOR GEOSCIENCES"
"HRD", "DIVISION OF HUMAN RESOURCE DEVELOPMENT"
"HRM", "DIVISION OF HUMAN RESOURCE MANAGEMENT"
"IBN", "DIV OF INTEGRATIVE BIOLOGY AND NEUROSCIE"
"III", "DIV OF INDUSTRIAL INNOVATION INTERFACE"
"IIS", "DIV OF INFORMATION & INTELLIGENT SYSTEMS"
"INT", "Office of Internatl Science &Engineering"
"IRM", "OFFICE OF INFORMATION & RESOURCE MGMT"
"LPA", "OFFICE OF LEGISLATIVE & PUBLIC AFFAIRS"
"MCB", "DIV OF MOLECULAR AND CELLULAR BIOSCIENCE"
"MDR", "DIV OF MATRS DEV, & INFORM SCIENCE EDUCA"
"MIP", "DIV OF MICROELECTRONIC INFOR PROCESS SYS"
"MPS", "DIRECT FOR MATHEMATICAL & PHYSICAL SCIEN"
"NCO", "NATIONAL COORDINATION OFFICE"
"NCR", "DIV OF ADVANCED NETWOR INFRA & RESEARCH"
"NON", "OFFICE OF PLANNING AND ASSESSMENT"
"NSB", "NATIONAL SCIENCE BOARD"
"O/D", "OFFICE OF THE DIRECTOR"
"OCE", "DIVISION OF OCEAN SCIENCES"
"OEO", "OFFICE OF EQUAL OPPORTUNITY PROGRAMS"
"OIA", "OFFICE OF INTEGRATIVE ACTIVITIES"
"OIG", "OFFICE OF INSPECTOR GENERAL"
"OPP", "OFFICE OF POLAR PROGRAMS"
"PHY", "DIVISION OF PHYSICS"
"PRA", "OFFICE OF PLANNING AND ASSESSMENT"
"REC", "DIV OF RSCH, EVALUATION AND COMMUNICATIO"
"RED", "DIV OF RSCH, EVALUATION AND COMMUNICATIO"
"SBE", "DIRECT FOR SOCIAL, BEHAV & ECONOMIC SCIE"
"SBR", "DIVISION OF BEHAVIORAL AND COGNITIVE SCI"
"SES", "DIVN OF SOCIAL AND ECONOMIC SCIENCES"
"SRS", "Division of Science Resources Statistics"
"STI", "OFF OF SCIENCE & TECHNOLOGY INFRASTRUCTR"
